search_id,result_id,position,result_type,relevance_score
1,1001,1,product,0.49
1,1002,2,product,0.86
1,1003,3,category,0.68
1,1004,4,product,0.73
1,1005,5,product,0.42
1,1006,6,product,0.67
1,1007,7,product,0.42
2,1008,1,product,0.7
2,1009,2,product,0.7
2,1010,3,product,0.7
2,1011,4,category,0.49
2,1012,5,product,0.78
2,1013,6,product,0.72
3,1014,1,product,0.68
3,1015,2,product,0.89
3,1016,3,product,0.74
3,1017,4,product,0.51
3,1018,5,product,0.49
4,1019,1,product,0.46
4,1020,2,product,0.75
4,1021,3,category,0.78
4,1022,4,category,0.46
4,1023,5,product,0.49
4,1024,6,product,0.61
4,1025,7,product,0.79
5,1026,1,product,0.59
5,1027,2,product,0.75
5,1028,3,product,0.82
5,1029,4,product,0.72
5,1030,5,product,0.76
5,1031,6,product,0.67
5,1032,7,product,0.8
6,1033,1,product,0.63
6,1034,2,category,0.89
6,1035,3,product,0.87
6,1036,4,product,0.54
6,1037,5,product,0.7
6,1038,6,product,0.86
6,1039,7,product,0.55
6,1040,8,product,0.47
7,1041,1,category,0.69
7,1042,2,product,0.92
7,1043,3,product,0.72
7,1044,4,product,0.73
7,1045,5,category,0.67
8,1046,1,category,0.61
8,1047,2,product,0.92
8,1048,3,product,0.87
9,1049,1,product,0.64
9,1050,2,category,0.75
9,1051,3,product,0.67
9,1052,4,product,0.58
9,1053,5,product,0.5
10,1054,1,product,0.71
10,1055,2,product,0.91
10,1056,3,category,0.79
10,1057,4,product,0.54
10,1058,5,product,0.83
10,1059,6,product,0.66
10,1060,7,category,0.78
10,1061,8,product,0.63
10,1062,9,product,0.63
11,1063,1,product,0.69
11,1064,2,product,0.85
11,1065,3,category,0.78
11,1066,4,product,0.49
11,1067,5,product,0.56
12,1068,1,product,0.58
12,1069,2,category,0.67
12,1070,3,product,0.72
12,1071,4,product,0.86
12,1072,5,product,0.41
13,1073,1,product,0.66
13,1074,2,product,0.83
13,1075,3,product,0.68
13,1076,4,product,0.86
13,1077,5,product,0.41
13,1078,6,category,0.73
13,1079,7,product,0.59
14,1080,1,product,0.68
14,1081,2,category,0.69
14,1082,3,product,0.88
14,1083,4,product,0.61
14,1084,5,product,0.64
14,1085,6,product,0.81
14,1086,7,category,0.45
15,1087,1,product,0.52
15,1088,2,product,0.81
15,1089,3,product,0.78
15,1090,4,category,0.53
15,1091,5,product,0.8
15,1092,6,product,0.82
15,1093,7,product,0.62
15,1094,8,product,0.58
15,1095,9,product,0.81
15,1096,10,product,0.5
16,1097,1,product,0.47
16,1098,2,product,0.8
16,1099,3,product,0.86
16,1100,4,product,0.64
16,1101,5,product,0.44
16,1102,6,product,0.73
17,1103,1,product,0.52
17,1104,2,product,0.69
17,1105,3,product,0.69
17,1106,4,product,0.77
17,1107,5,product,0.5
17,1108,6,category,0.75
17,1109,7,product,0.65
17,1110,8,product,0.45
18,1111,1,product,0.48
18,1112,2,product,0.67
18,1113,3,product,0.93
18,1114,4,product,0.76
18,1115,5,product,0.41
18,1116,6,product,0.63
18,1117,7,product,0.86
18,1118,8,product,0.81
18,1119,9,product,0.43
19,1120,1,product,0.6
19,1121,2,product,0.83
19,1122,3,product,0.88
19,1123,4,product,0.84
19,1124,5,product,0.68
20,1125,1,product,0.49
20,1126,2,product,0.67
20,1127,3,product,0.79
20,1128,4,product,0.54
20,1129,5,product,0.74
21,1130,1,product,0.51
21,1131,2,product,0.73
21,1132,3,product,0.67
21,1133,4,product,0.69
21,1134,5,product,0.84
21,1135,6,product,0.62
21,1136,7,product,0.59
21,1137,8,product,0.66
21,1138,9,category,0.69
22,1139,1,product,0.61
22,1140,2,product,0.7
22,1141,3,product,0.78
22,1142,4,product,0.88
22,1143,5,category,0.79
22,1144,6,product,0.63
22,1145,7,product,0.55
23,1146,1,product,0.67
23,1147,2,product,0.79
23,1148,3,category,0.75
25,1149,1,product,0.5
25,1150,2,product,0.93
26,1151,1,product,0.6
26,1152,2,category,0.68
26,1153,3,product,0.92
26,1154,4,product,0.46
26,1155,5,product,0.64
26,1156,6,product,0.64
26,1157,7,category,0.8
27,1158,1,category,0.59
27,1159,2,product,0.91
27,1160,3,product,0.89
27,1161,4,product,0.85
27,1162,5,product,0.79
27,1163,6,product,0.54
27,1164,7,product,0.88
27,1165,8,product,0.47
